Time,AC,B,D,M,N,ND
0,0,10,0,2,0,0
20,0.8,8.8,1.2,2,4.4,2.8
40,3.6,5.6,3.2,2.4,11.8,3.8
60,5.6,1.6,4.4,2.2,13.4,4
80,4.6,1.6,4.6,2.4,11,3.2
100,4,0.6,4.8,2.6,8.8,2.8
120,2.6,0.6,5,2.6,6.8,1.2
140,1.2,0.4,4.6,2.4,5.2,1.4
160,1.8,0.6,4.8,2.4,2.8,2.2
180,0.6,0.2,3.6,2.4,4,0.6
200,1,0,3.6,2.4,3.4,0
220,0.2,0,3.6,2.4,2,0.6
240,0.4,0,2.8,2.4,1.4,0.4
260,0.4,0,2.6,2.2,1.2,0
280,0.2,0,2.6,2.2,0.8,0.2
300,0.2,0,2.4,2.2,0.6,0
320,0,0,2.2,1.8,0.4,0.2
340,0,0,2,1.8,0,0.4
360,0.2,0,1.6,1.8,0,0
380,0,0,1.6,1.8,0,0
400,0,0,1.6,1.6,0,0
420,0,0,1.6,1.2,0,0
440,0,0,1.4,1.2,0,0
460,0,0,1.2,1.2,0,0
480,0,0,1.2,1.2,0,0
500,0,0,1.2,1.2,0,0
520,0,0,1,1.2,0,0
540,0,0,0.6,1.2,0,0
560,0,0,0.6,1.2,0,0
580,0,0,0.4,1.2,0,0
600,0,0,0.4,1.2,0,0
620,0,0,0.4,1.2,0,0
640,0,0,0.4,1.2,0,0
660,0,0,0.4,1.2,0,0
680,0,0,0.4,1.2,0,0
700,0,0,0.4,1.2,0,0
720,0,0,0.4,1.2,0,0
740,0,0,0.4,1.2,0,0
760,0,0,0.4,1.2,0,0
780,0,0,0.4,1.2,0,0
800,0,0,0.4,1.2,0,0
820,0,0,0.2,1.2,0,0
840,0,0,0,1.2,0,0
860,0,0,0,1.2,0,0
880,0,0,0,1.2,0,0
900,0,0,0,1.2,0,0
920,0,0,0,1.2,0,0
940,0,0,0,1.2,0,0
960,0,0,0,1.2,0,0
980,0,0,0,1.2,0,0
1000,0,0,0,1.2,0,0
1020,0,0,0,1.2,0,0
1040,0,0,0,1.2,0,0
1060,0,0,0,1.2,0,0
1080,0,0,0,1.2,0,0
1100,0,0,0,1,0,0
1120,0,0,0,1,0,0
1140,0,0,0,0.8,0,0
1160,0,0,0,0.8,0,0
1180,0,0,0,0.8,0,0
1200,0,0,0,0.8,0,0
1220,0,0,0,0.6,0,0
1240,0,0,0,0.6,0,0
1260,0,0,0,0.6,0,0
1280,0,0,0,0.6,0,0
1300,0,0,0,0.6,0,0
1320,0,0,0,0.6,0,0
1340,0,0,0,0.6,0,0
1360,0,0,0,0.6,0,0
1380,0,0,0,0.6,0,0
1400,0,0,0,0.6,0,0
1420,0,0,0,0.6,0,0
1440,0,0,0,0.6,0,0
1460,0,0,0,0.6,0,0
1480,0,0,0,0.6,0,0
1500,0,0,0,0.6,0,0
1520,0,0,0,0.6,0,0
1540,0,0,0,0.6,0,0
1560,0,0,0,0.6,0,0
1580,0,0,0,0.6,0,0
1600,0,0,0,0.6,0,0
1620,0,0,0,0.6,0,0
1640,0,0,0,0.4,0,0
1660,0,0,0,0.4,0,0
1680,0,0,0,0.4,0,0
1700,0,0,0,0.4,0,0
1720,0,0,0,0.4,0,0
1740,0,0,0,0.4,0,0
1760,0,0,0,0.4,0,0
1780,0,0,0,0.4,0,0
1800,0,0,0,0.4,0,0
1820,0,0,0,0.4,0,0
1840,0,0,0,0.4,0,0
1860,0,0,0,0.2,0,0
1880,0,0,0,0.2,0,0
1900,0,0,0,0.2,0,0
1920,0,0,0,0.2,0,0
1940,0,0,0,0.2,0,0
1960,0,0,0,0.2,0,0
1980,0,0,0,0.2,0,0
2000,0,0,0,0.2,
